"","text"
"1"," semoga tingkatkan "
"2","insha allah pelayanan fasilitas dibersihkan "
"3"," tunggu area bermain anak diluar cek in "
"4","sediakan ruang tunggu jemput"
"5"," unggulkan yg ciri khas tingkatkan prestasi yg capai perbanyak tiket aja gak cepet abis v "
"6","semoga setasiun "
"7"," lg dimasa yad"
"8","pelayanan fasilitas upgrade"
"9","keamanan lbh ditingkatkn nyaman"
"10"," tingkatkan kebersihanya"
"11","tingkatkan mutu kualitas"
"12"," dijg kebersihan"
"13"," diadakan executive lounge"
"14","toilet lbh perhatikan kebersihan "
"15"," merakyat"
"16","tingkatkan pelayanan penumpabg ka"
"17","tingkat pelayananya "
"18","penerangan "
"19","senyum"
"20","ac krg dingin kereta"
"21"," tingkatkan kebersihan kenyamanannya"
"22","toilet ditambah kebersihan toilet tingkatkan "
"23"," dijaga "
"24"," yg mengangkat barang trlalu terburu gerbong brgkali prlu pmbinaan spy lbih "
"25","tingkatkan pelayanan masyarakat"
"26","kebersihan diutamakan kenyamanan pelanggan "
"27","tingkatkan pelayanan"
"28","tingkatkan pelayanannya "
"29","area parkir yg terbatas "
"30"," tingkatkan kebersihannya"
"31"," "
"32","oerbanyak tiket weekend"
"33"," kebersihan ruang tunggu diperbaiki"
"34","fasilitas stand makanan area ditambah"
"35"," ditambah area istirahat minimal duduk"
"36"," perbanyak kutoarjonya"
"37","antrian prameks efektif"
"38","tingkatkan charger corner"
"39","penjaga loket pembelian langsung diperbanyak menimbulkan antrian penataan halaman tugu dipercantik tanaman "
"40","tambahkan fasilitas duduk"
"41"," antriannya suka rebutan ruang tunggu tingkatkan kebersihannya charger wifi "
"42","tingkatkan kebersihan keamanan calon penumpang puas"
"43","tingkatkan pelayanannya"
"44","persediaan toilet yg memadai"
"45"," duduk kanopi basah hujan"
"46"," "
"47","kebersihan keamanan kedisiplinan ditungkatkan"
"48"," fasilitas duduk penumpang pengunjung yg duduk lesehan kasihan yg duduk dilesehan bawa anak balita "
"49","sediakan wifi perbanyak colokan"
