,klasifikasi,score,text,,,,,,
1,Positif,0,ditanbah duduk tunggu kereta,,,,,,
2,Positif,1, mushola toilet dijaga kebersihannya duduk ruang tunggu calon penumpang terpaksa duduk lantai ,,,,,,
3,Positif,0,fasilitas difabel diperhatikan ,,,,,,
4,Positif,0,disediakan parkir khusus kendaraan rapih parkir,,,,,,
5,Positif,0, tingkatkan nyaman ,,,,,,
6,Positif,1, fasilitas toilet dibersihkan karna kotor toilet terkadang pengguna nyaman tercium aroma sedap toilet ,,,,,,
7,Positif,0,do best,,,,,,
8,Positif,2, ditingkatkan kenyamanan penumpang,,,,,,
9,Positif,0,kapasitas kursi menunggu kedatangan kereta ditambahi pengunjung nyaman tdk berdiri ,,,,,,
10,Positif,0, dimaksimalkan,,,,,,
11,Positif,1,tingkatkan kebersihan pelayanan konsumen,,,,,,
12,Negatif,-1, pelayanan pembatalan tiket rescedhule online manual loket ,,,,,,
13,Positif,1,kebersihan tingkatkan,,,,,,
14,Positif,1,kebersihan tingkatkan,,,,,,
15,Positif,0, kurangnya menunggu untuj calon penumpang wifi menunggu penumpang jenuh ,,,,,,
16,Negatif,-1,banyakin bangku nunggu ga ngampar,,,,,,
17,Negatif,-2, duduk yg sediakan yg duduk lesehan mengganggu yg jalan ,,,,,,
18,Positif,0,trmpat duduk colokan listrikpun ,,,,,,
19,Positif,1, duduk ruang tunggu perbanyak,,,,,,
20,Positif,0, puas,,,,,,
21,Positif,0,puas ,,,,,,
22,Positif,0,tambahan fasilitas duduk ,,,,,,
23,Positif,0, tingkatkan kebersihannya,,,,,,
24,Positif,0,perbanyak fasilitas kapasitas penumpang ka ekonomi,,,,,,
25,Negatif,-1, akses jalan parkiran ,,,,,,
26,Positif,1,kebersihan dijaga ,,,,,,
27,Positif,0, diperluas karna lempuyangan dikunjungi,,,,,,
28,Positif,1, fasilitasnya kamr mandi dijaga kebersihnny gr pengguna nyaman memakainya,,,,,,
29,Positif,1, ditinggkatkan kenyaman kebersihan disana bersih dibeberapa sampah terimakasih ,,,,,,
30,Positif,0, ,,,,,,
31,Positif,1, disediakan bnyk kursi fasilitas dimanfaatkan sembar pengguna jasa kereta api menunggu,,,,,,
32,Positif,0,tolong sediakan toilet pengantar penumpang,,,,,,
33,Positif,1, berkualitas ,,,,,,
34,Positif,0, wifinya,,,,,,
35,Positif,1, cepat,,,,,,
36,Positif,2, dijaga kebersihan ruang tunggu diperluas,,,,,,
37,Positif,0, ,,,,,negatif,5
38,Positif,0,tambahin charger corner tambahin tv,,,,,positif,47
39,Positif,0, banyam toilet,,,,,,
40,Positif,0, sediakan loket ka perjalanan ,,,,,,
41,Positif,1, rela rela kehabisan nomor antrian,,,,,,
42,Positif,0,sakitt ,,,,,,
43,Positif,0, loket perbanyak ,,,,,,
44,Positif,1, ditingkatkan pelayanannya ,,,,,,
45,Positif,0,harap disediakan toilet diluar ,,,,,,
46,Positif,1,ditambah duduknya,,,,,,
47,Positif,2,mushola diperbesar kursi ruang tunggu ditambah,,,,,,
48,Positif,0, duduk penumpang diperbanyak,,,,,,
49,Negatif,-1, parkir ditaruh makan bahu jalan bikin macet,,,,,,
50,Positif,2,kebersihan fasilitas dibersihkan pengunjung nyaman,,,,,,
51,Positif,0, ,,,,,,
52,Positif,0, fasilitas tolong diperhatikan kebersihannya pas musim ujan pengunjung yg alas kaki kotor petugas kebersihan yg stay membersihkan pengunjung nyaman ,,,,,,
