,klasifikasi,score,text
1,Positif,0, semoga tingkatkan 
2,Positif,1,insha allah pelayanan fasilitas dibersihkan 
3,Positif,0, tunggu area bermain anak diluar cek in 
4,Positif,1,sediakan ruang tunggu jemput
5,Positif,1, unggulkan yg ciri khas tingkatkan prestasi yg capai perbanyak tiket aja gak cepet abis v 
6,Positif,0,semoga setasiun 
7,Positif,0, lg dimasa yad
8,Positif,0,pelayanan fasilitas upgrade
9,Positif,0,keamanan lbh ditingkatkn nyaman
10,Positif,0, tingkatkan kebersihanya
11,Positif,2,tingkatkan mutu kualitas
12,Positif,1, dijg kebersihan
13,Positif,0, diadakan executive lounge
14,Positif,1,toilet lbh perhatikan kebersihan 
15,Positif,0, merakyat
16,Positif,0,tingkatkan pelayanan penumpabg ka
17,Positif,0,tingkat pelayananya 
18,Positif,0,penerangan 
19,Positif,1,senyum
20,Negatif,-2,ac krg dingin kereta
21,Positif,1, tingkatkan kebersihan kenyamanannya
22,Positif,2,toilet ditambah kebersihan toilet tingkatkan 
23,Positif,0, dijaga 
24,Negatif,-1, yg mengangkat barang trlalu terburu gerbong brgkali prlu pmbinaan spy lbih 
25,Negatif,-1,tingkatkan pelayanan masyarakat
26,Positif,2,kebersihan diutamakan kenyamanan pelanggan 
27,Positif,0,tingkatkan pelayanan
28,Positif,0,tingkatkan pelayanannya 
29,Positif,0,area parkir yg terbatas 
30,Positif,0, tingkatkan kebersihannya
31,Positif,0, 
32,Positif,0,oerbanyak tiket weekend
33,Positif,2, kebersihan ruang tunggu diperbaiki
34,Positif,2,fasilitas stand makanan area ditambah
35,Positif,0, ditambah area istirahat minimal duduk
36,Positif,0, perbanyak kutoarjonya
37,Positif,0,antrian prameks efektif
38,Positif,0,tingkatkan charger corner
39,Positif,1,penjaga loket pembelian langsung diperbanyak menimbulkan antrian penataan halaman tugu dipercantik tanaman 
40,Positif,0,tambahkan fasilitas duduk
41,Positif,1, antriannya suka rebutan ruang tunggu tingkatkan kebersihannya charger wifi 
42,Positif,1,tingkatkan kebersihan keamanan calon penumpang puas
43,Positif,0,tingkatkan pelayanannya
44,Positif,0,persediaan toilet yg memadai
45,Positif,1, duduk kanopi basah hujan
46,Positif,0, 
47,Positif,1,kebersihan keamanan kedisiplinan ditungkatkan
48,Positif,0, fasilitas duduk penumpang pengunjung yg duduk lesehan kasihan yg duduk dilesehan bawa anak balita 
49,Positif,0,sediakan wifi perbanyak colokan
